available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/12/24/12412/images/27608/27608.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-a6-9500e-oem-ad9500ahm23ab/,1 330,28bit.ru,12707,Процессор AMD Ryzen A6 9500E OEM AD9500AHM23AB
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/86/23/12386/images/27582/27582.170x0.jpeg,https://28bit.ru/protsessor-amd-fx-4300-vishera-box-fd4300wmhksbx/,2 330,28bit.ru,12681,Процессор AMD FX 4300 VISHERA BOX FD4300WMHKSBX
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/91/74/17491/images/30148/30148.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g5900-comet-lake-3400-mhz-cores-2-2mb-socket-58-wt-gpu-uhd-610-cm8070104292110srh44-oem/,2 620,28bit.ru,18096,Процессор Intel Celeron G5900 OEM CM8070104292110
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/13/30/13013/images/28181/28181.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g4900-oem-cm8068403378112/,2 820,28bit.ru,13308,Процессор Intel Celeron G4900 OEM CM8068403378112
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/84/82/8284/images/10694/10694.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g3900-oem-cm8066201928610/,2 910,28bit.ru,8279,Процессор Intel Celeron G3900 OEM CM8066201928610
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/11/95/9511/images/11826/11826.170x0.jpeg,https://28bit.ru/protsessor-intel-pentium-g4400-oem-cm8066201927306/,3 180,28bit.ru,9538,Процессор Intel Pentium G4400 OEM CM8066201927306
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/08/14/11408/images/13586/13586.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g5925-oem-cm8070104292013/,3 790,28bit.ru,11699,Процессор Intel Celeron G5925 OEM CM8070104292013
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/28/13/11328/images/13506/13506.170x0.jpeg,https://28bit.ru/protsessor-amd-a6-9500-oem-ad9500agm23ab/,3 840,28bit.ru,11619,Процессор AMD A6 9500 OEM AD9500AGM23AB
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/04/14/11404/images/13582/13582.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g5905-box-bx80701g5905/,4 060,28bit.ru,11695,Процессор intel Celeron G5905 BOX BX80701G5905
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/12/14/11412/images/13590/13590.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g5925-box-bx80701g5925/,4 330,28bit.ru,11703,Процессор Intel Celeron G5925 BOX BX80701G5925
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/19/56/5619/images/10219/10219.170x0.jpeg,https://28bit.ru/protsessor-amd-athlon-200ge-oem-yd200gc6m2ofb/,4 690,28bit.ru,5620,Процессор AMD Athlon 200GE OEM YD200GC6M2OFB
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/05/14/11405/images/13583/13583.170x0.jpeg,https://28bit.ru/protsessor-intel-pentium-g6405-oem-cm8070104291811/,4 890,28bit.ru,11696,Процессор Intel Pentium G6405 OEM CM8070104291811
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/78/13/11378/images/13556/13556.170x0.jpeg,https://28bit.ru/protsessor-intel-pentium-g6400-oem-cm8070104291810/,4 940,28bit.ru,11669,Процессор Intel Pentium G6400 OEM CM8070104291810
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/66/56/5666/images/10264/10264.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-10100f-oem-cm8070104291318/,5 090,28bit.ru,5667,Процессор Intel Core i3 10100F OEM CM8070104291318
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/86/74/17486/images/30143/30143.170x0.jpeg,https://28bit.ru/protsessor-intel-pentium-g4560-kaby-lake-s-3500-mhz-cores-2-3mb-socket-lga1151-54-wt-gpu-hd-610-cm8067702867064sr32y-oem/,5 160,28bit.ru,18091,Процессор Intel Pentium G4560 OEM CM8067702867064
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/52/95/9552/images/11862/11862.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g5920-box-bx80701g5920/,5 270,28bit.ru,9583,Процессор Intel Celeron G5920 BOX BX80701G5920
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/07/14/11407/images/13585/13585.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-10105f-oem-cm8070104291323/,5 410,28bit.ru,11698,Процессор Intel Core i3 10105F OEM CM8070104291323
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/14/95/9514/images/11829/11829.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-3-3000g-oem-yd3000c6m2ofh/,5 950,28bit.ru,9541,Процессор AMD Athlon 3 3000G OEM YD3000C6M2OFH
